marker,x,y,player
1.0,0.0,0.0,red
2.0,-1.0,0.0,black
3.0,0.0,1.0,red
4.0,0.0,-1.0,black
5.0,1.0,-2.0,red
6.0,-1.0,-1.0,black
7.0,1.0,-1.0,red
8.0,-1.0,-2.0,black
9.0,-1.0,1.0,red
10.0,2.0,-2.0,black
11.0,-2.0,2.0,red
12.0,-3.0,3.0,black
13.0,-1.0,-3.0,red
14.0,1.0,-3.0,black
15.0,1.0,0.0,red
16.0,2.0,-4.0,black
17.0,0.0,-2.0,red
18.0,2.0,0.0,black
19.0,2.0,-1.0,red
20.0,-1.0,2.0,black
21.0,1.0,2.0,red
22.0,1.0,1.0,black
23.0,-2.0,-4.0,red
24.0,-3.0,-5.0,black
25.0,3.0,-2.0,red
26.0,4.0,-3.0,black
27.0,0.0,-3.0,red
28.0,3.0,0.0,black
29.0,-1.0,-4.0,red
30.0,-2.0,-5.0,black
31.0,0.0,-4.0,red
32.0,-3.0,-4.0,black
33.0,0.0,-5.0,red
34.0,0.0,-6.0,black
35.0,-2.0,-3.0,red
36.0,1.0,-6.0,black
37.0,-3.0,-3.0,red
38.0,-4.0,-3.0,black
39.0,-1.0,-6.0,red
40.0,-1.0,-7.0,black
41.0,1.0,-5.0,red
42.0,2.0,-6.0,black
43.0,3.0,-6.0,red
44.0,-4.0,-1.0,black
45.0,-5.0,-2.0,red
46.0,-4.0,-4.0,black
47.0,-4.0,-2.0,red
48.0,0.0,-8.0,black
49.0,-2.0,-6.0,red
50.0,-1.0,-5.0,black
51.0,-4.0,-5.0,red
52.0,-1.0,3.0,black
53.0,0.0,2.0,red
54.0,0.0,3.0,black
55.0,-2.0,3.0,red
56.0,1.0,-7.0,black
57.0,3.0,-5.0,red
58.0,2.0,-5.0,black
59.0,2.0,-3.0,red
60.0,1.0,-4.0,black
61.0,3.0,-4.0,red
62.0,3.0,-3.0,black
63.0,-1.0,-9.0,red
64.0,2.0,-8.0,black
65.0,3.0,-9.0,red
66.0,2.0,-7.0,black
